City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Salinas,US,2022-03-02 14:56:31,36.6777,-121.6555,59.72,58,100,2.53
284,Minab,IR,2022-03-02 14:59:28,27.1467,57.0801,75.52,64,7,4.61
285,Sorong,ID,2022-03-02 14:59:29,-0.8833,131.25,81.05,82,99,8.61
286,Acapulco,MX,2022-03-02 14:59:23,16.8634,-99.8901,79.84,59,17,2.08
287,Las Vegas,US,2022-03-02 14:56:36,36.175,-115.1372,62.67,22,2,2.77
288,Ostrovnoy,RU,2022-03-02 14:59:29,68.0531,39.5131,29.07,87,68,19.08
289,La Ronge,CA,2022-03-02 14:59:30,55.1001,-105.2842,-27.15,68,0,0.0
290,Katwa,IN,2022-03-02 14:59:30,23.6399,88.128,76.93,35,1,1.79
291,Longyearbyen,SJ,2022-03-02 14:59:31,78.2186,15.6401,13.84,85,75,10.36
292,Saint George,US,2022-03-02 14:59:31,37.1041,-113.5841,52.54,42,2,4.61
